profile_id,steering_condition,model_key,target_O,target_N,pred_O,pred_N,n_essays
syn_0000,lex_fewshot,deepseek-v3,50.0,80.0,56.58295,57.751324,6
syn_0000,lex_fewshot,gpt-4o-mini,50.0,80.0,56.006496,58.44489,6
syn_0000,lex_fewshot,qwen3-32b,50.0,80.0,53.534153,48.528423,6
syn_0000,liwc_only,deepseek-v3,50.0,80.0,62.5722,59.178608,6
syn_0000,liwc_only,gpt-4o-mini,50.0,80.0,57.54021,58.209362,6
syn_0000,liwc_only,qwen3-32b,50.0,80.0,55.76529,57.89278,6
syn_0000,persona_liwc,deepseek-v3,50.0,80.0,54.65481,56.32796,6
syn_0000,persona_liwc,gpt-4o-mini,50.0,80.0,53.520367,62.16168,6
syn_0000,persona_liwc,qwen3-32b,50.0,80.0,53.651814,59.275238,6
syn_0000,persona_only,deepseek-v3,50.0,80.0,52.794678,59.34992,6
syn_0000,persona_only,gpt-4o-mini,50.0,80.0,59.139263,54.546875,6
syn_0000,persona_only,qwen3-32b,50.0,80.0,62.943615,59.278713,6
syn_0001,lex_fewshot,deepseek-v3,17.0,40.0,54.16995,59.245747,6
syn_0001,lex_fewshot,gpt-4o-mini,17.0,40.0,60.334198,57.0021,6
syn_0001,lex_fewshot,qwen3-32b,17.0,40.0,46.54106,55.603504,6
syn_0001,liwc_only,deepseek-v3,17.0,40.0,50.72519,62.507477,6
syn_0001,liwc_only,gpt-4o-mini,17.0,40.0,49.196354,54.57628,6
syn_0001,liwc_only,qwen3-32b,17.0,40.0,45.762463,61.887356,6
syn_0001,persona_liwc,deepseek-v3,17.0,40.0,59.400677,62.64636,6
syn_0001,persona_liwc,gpt-4o-mini,17.0,40.0,61.850613,62.376728,6
syn_0001,persona_liwc,qwen3-32b,17.0,40.0,49.447803,56.160046,6
syn_0001,persona_only,deepseek-v3,17.0,40.0,56.14584,59.164486,6
syn_0001,persona_only,gpt-4o-mini,17.0,40.0,63.11243,54.989044,6
syn_0001,persona_only,qwen3-32b,17.0,40.0,57.702892,60.821716,6
syn_0002,lex_fewshot,deepseek-v3,17.0,94.0,45.728,60.987305,6
syn_0002,lex_fewshot,gpt-4o-mini,17.0,94.0,54.625584,60.97621,6
syn_0002,lex_fewshot,qwen3-32b,17.0,94.0,53.399044,51.574215,6
syn_0002,liwc_only,deepseek-v3,17.0,94.0,50.19482,54.46739,6
syn_0002,liwc_only,gpt-4o-mini,17.0,94.0,59.92866,62.1468,6
syn_0002,liwc_only,qwen3-32b,17.0,94.0,53.119877,60.076283,6
syn_0002,persona_liwc,deepseek-v3,17.0,94.0,49.586216,61.889587,6
syn_0002,persona_liwc,gpt-4o-mini,17.0,94.0,55.575123,57.658543,6
syn_0002,persona_liwc,qwen3-32b,17.0,94.0,56.323048,55.15036,6
syn_0002,persona_only,deepseek-v3,17.0,94.0,50.073196,56.959656,6
syn_0002,persona_only,gpt-4o-mini,17.0,94.0,57.69986,50.7876,6
syn_0002,persona_only,qwen3-32b,17.0,94.0,57.47781,58.69371,6
syn_0003,lex_fewshot,deepseek-v3,24.0,98.0,50.789066,49.7131,6
syn_0003,lex_fewshot,gpt-4o-mini,24.0,98.0,55.168316,59.677235,6
syn_0003,lex_fewshot,qwen3-32b,24.0,98.0,53.393387,52.56809,6
syn_0003,liwc_only,deepseek-v3,24.0,98.0,54.91223,55.61289,6
syn_0003,liwc_only,gpt-4o-mini,24.0,98.0,54.238605,65.28192,6
syn_0003,liwc_only,qwen3-32b,24.0,98.0,53.79451,53.28902,6
syn_0003,persona_liwc,deepseek-v3,24.0,98.0,47.78314,55.105957,6
syn_0003,persona_liwc,gpt-4o-mini,24.0,98.0,56.883923,60.355133,6
syn_0003,persona_liwc,qwen3-32b,24.0,98.0,52.446777,56.848103,6
syn_0003,persona_only,deepseek-v3,24.0,98.0,48.072495,55.136738,6
syn_0003,persona_only,gpt-4o-mini,24.0,98.0,61.95483,56.626385,6
syn_0003,persona_only,qwen3-32b,24.0,98.0,59.17554,52.009705,6
syn_0004,lex_fewshot,deepseek-v3,60.0,98.0,48.24435,49.558056,6
syn_0004,lex_fewshot,gpt-4o-mini,60.0,98.0,50.75651,59.1144,6
syn_0004,lex_fewshot,qwen3-32b,60.0,98.0,58.477222,50.05672,6
syn_0004,liwc_only,deepseek-v3,60.0,98.0,48.635853,53.261642,6
syn_0004,liwc_only,gpt-4o-mini,60.0,98.0,60.378574,59.32858,6
syn_0004,liwc_only,qwen3-32b,60.0,98.0,51.70755,49.025707,6
syn_0004,persona_liwc,deepseek-v3,60.0,98.0,44.464127,52.371628,6
syn_0004,persona_liwc,gpt-4o-mini,60.0,98.0,57.51714,62.49222,6
syn_0004,persona_liwc,qwen3-32b,60.0,98.0,55.807774,60.12649,6
syn_0004,persona_only,deepseek-v3,60.0,98.0,56.994324,53.758503,6
syn_0004,persona_only,gpt-4o-mini,60.0,98.0,53.505295,55.041454,6
syn_0004,persona_only,qwen3-32b,60.0,98.0,62.528828,54.14094,6
syn_0005,lex_fewshot,deepseek-v3,8.0,15.0,58.115673,57.471333,6
syn_0005,lex_fewshot,gpt-4o-mini,8.0,15.0,60.67934,52.20784,6
syn_0005,lex_fewshot,qwen3-32b,8.0,15.0,49.88341,44.82397,6
syn_0005,liwc_only,deepseek-v3,8.0,15.0,51.973774,59.085693,6
syn_0005,liwc_only,gpt-4o-mini,8.0,15.0,59.4877,58.69431,6
syn_0005,liwc_only,qwen3-32b,8.0,15.0,68.57233,61.580383,6
syn_0005,persona_liwc,deepseek-v3,8.0,15.0,55.262066,62.021473,6
syn_0005,persona_liwc,gpt-4o-mini,8.0,15.0,62.476624,53.972218,6
syn_0005,persona_liwc,qwen3-32b,8.0,15.0,50.86766,53.197742,6
syn_0005,persona_only,deepseek-v3,8.0,15.0,51.59461,62.874893,6
syn_0005,persona_only,gpt-4o-mini,8.0,15.0,60.86143,46.765736,6
syn_0005,persona_only,qwen3-32b,8.0,15.0,56.21834,55.5,6
syn_0006,lex_fewshot,deepseek-v3,41.0,43.0,53.805134,62.945606,6
syn_0006,lex_fewshot,gpt-4o-mini,41.0,43.0,54.217976,58.976643,6
syn_0006,lex_fewshot,qwen3-32b,41.0,43.0,56.55074,49.317905,6
syn_0006,liwc_only,deepseek-v3,41.0,43.0,50.64366,58.116535,6
syn_0006,liwc_only,gpt-4o-mini,41.0,43.0,54.2691,57.068356,6
syn_0006,liwc_only,qwen3-32b,41.0,43.0,53.438335,54.863308,6
syn_0006,persona_liwc,deepseek-v3,41.0,43.0,50.668804,55.550446,6
syn_0006,persona_liwc,gpt-4o-mini,41.0,43.0,51.938206,61.311954,6
syn_0006,persona_liwc,qwen3-32b,41.0,43.0,53.065964,54.65563,6
syn_0006,persona_only,deepseek-v3,41.0,43.0,54.67862,53.293274,6
syn_0006,persona_only,gpt-4o-mini,41.0,43.0,60.270294,55.310345,6
